scheme_or_product_name,benefit_name,scheme_type,provider_category,provider_name,government_level,state_or_ut,financial_instrument_type,benefit_category_tags,business_stage_tags,sector_tags,msme_segment_tags,benefit_summary,benefit_calculation_logic,maximum_benefit_amount,minimum_benefit_amount,loan_amount_range,interest_rate_or_subvention,collateral_requirement,guarantee_coverage,repayment_tenure,moratorium,margin_contribution_required,application_channel,application_url,official_source_url,policy_document_url,secondary_source_url,source_type,source_confidence,active_status,active_status_evidence,priority_tier,accessibility_status,last_verified_date,notes,verification_needed,duplicate_or_related_scheme_notes
Prime Minister's Employment Generation Programme (PMEGP),Margin money subsidy for new micro units,government_scheme,central_government,Ministry of MSME (implemented by KVIC / KVIB / DIC),central,all_india,margin_money_assistance,capital_investment_subsidy|credit_access,idea_or_pre_startup|startup_early_stage,manufacturing|services,micro|women_led|sc_st_entrepreneur|artisan|rural_enterprise,Credit-linked back-ended margin money subsidy to help set up new micro enterprises in manufacturing and service/business activities. Bank finances the balance as term loan and working capital.,"Subsidy as a percentage of project cost. General category: 15pct urban / 25pct rural. Special category (SC/ST/OBC/minorities/women/ex-servicemen/PwD/NER/hill/border/aspirational): 25pct urban / 35pct rural. Max project cost: 50 lakh manufacturing, 20 lakh service/business.",1750000,unknown,unknown,not_applicable,collateral_free,not_applicable,36_to_84_months,unknown,5pct_to_10pct,open_online,https://www.kviconline.gov.in/pmegpeportal,https://msme.gov.in/1-prime-ministers-employment-generation-programme-pmegp,https://msme.gov.in/sites/default/files/Revisedguidelines07.12.2023.pdf,unknown,official_government,high_official_current,confirmed_active,Live e-portal accepting applications; revised guideline dated 07.12.2023 on msme.gov.in,tier_1_high_priority,open_online,2026-07-03,"Loans up to 10 lakh are collateral-free per RBI norms; loans above are covered under CGTMSE. Max subsidy shown is 35pct of 50 lakh manufacturing project (special category, rural).",no,Paired with the PMEGP second-loan upgradation subsidy row; credit component covered by CGTMSE row
Prime Minister's Employment Generation Programme (PMEGP),Second-loan margin money subsidy for upgradation of existing PMEGP/REGP/MUDRA units,government_scheme,central_government,Ministry of MSME (implemented by KVIC / KVIB / DIC),central,all_india,margin_money_assistance,capital_investment_subsidy|technology_upgradation|credit_access,existing_enterprise|expansion|modernization_upgradation,manufacturing|services,micro|women_led|sc_st_entrepreneur|rural_enterprise,Second dose of credit-linked subsidy for upgrading well-performing existing PMEGP/REGP/MUDRA units after successful adjustment of the first subsidy and three-year lock-in.,"15pct subsidy (20pct for NER/hill) on project cost. Max project cost for upgradation: 1 crore manufacturing (max subsidy 15 lakh, 20 lakh NER/hill); 25 lakh service/business (max subsidy 3.75 lakh, 5 lakh NER/hill).",2000000,unknown,unknown,not_applicable,collateral_free,not_applicable,36_to_84_months,unknown,10pct,open_online,https://www.kviconline.gov.in/pmegpeportal,https://msme.gov.in/1-prime-ministers-employment-generation-programme-pmegp,https://msme.gov.in/sites/default/files/Revisedguidelines07.12.2023.pdf,unknown,official_government,high_official_current,confirmed_active,Upgradation component present in revised guideline 07.12.2023; earmarked annual allocation,tier_2_segment_specific,open_online,2026-07-03,Only for existing units that completed 3-year lock-in and successfully adjusted first subsidy. Max shown is 20 lakh (NER/hill manufacturing).,no,Second component of PMEGP; see PMEGP new-unit row
Credit Guarantee Fund Trust for Micro and Small Enterprises (CGTMSE),Guarantee cover on collateral-free credit to micro and small enterprises,credit_guarantee_scheme,public_institution,CGTMSE (Ministry of MSME and SIDBI),central_backed,all_india,credit_guarantee,credit_access|collateral_substitution,startup_early_stage|existing_enterprise|all_stages,sector_agnostic,micro|small|women_led|sc_st_entrepreneur,"Provides guarantee cover to member lending institutions for collateral-free and third-party-guarantee-free credit extended to eligible micro and small enterprises, including manufacturing, services and retail/wholesale trade.","Guarantee cover 75pct to 85pct of the amount in default depending on borrower category and loan size, with an additional 5pct enhancement for women entrepreneurs (per Dec 2024 circular). Annual Guarantee Fee from 0.37pct p.a. (revised Apr 2025).",unknown,unknown,0-100000000,not_applicable,collateral_free,up_to_85pct_general_up_to_90pct_women,unknown,unknown,not_applicable,through_bank_or_financial_institution,unknown,https://www.cgtmse.in,https://www.cgtmse.in/Home/VS/96,unknown,official_institution,high_official_current,confirmed_active,CGTMSE FAQs and circulars dated 2024-25 on cgtmse.in; ceiling raised to 10 crore per borrower,tier_1_high_priority,through_bank_or_financial_institution,2026-07-03,"Ceiling of guaranteed credit is 10 crore per eligible borrower. Medium enterprises are not covered. Borrower applies via a Member Lending Institution, not directly to CGTMSE. 10pct fee concession for women/SC/ST/ZED/NER/aspirational-district units.",no,Startups use the separate CGSS scheme (up to 20 crore). Bank guarantee-backed loan products reference this scheme; CGSSD (subordinate debt) is a related distress guarantee to be captured in the credit batch.
Special Credit Linked Capital Subsidy Scheme (SCLCSS),25pct capital subsidy on plant and machinery for SC/ST-owned MSEs,government_scheme,central_government,Ministry of MSME (National SC-ST Hub),central,all_india,capital_subsidy,capital_investment_subsidy|technology_upgradation,existing_enterprise|expansion|modernization_upgradation,manufacturing|services,sc_st_entrepreneur|micro|small,"Upfront capital subsidy to SC/ST-owned micro and small enterprises for procurement of plant, machinery and equipment through institutional credit, to promote technology adoption and participation in public procurement.",25pct subsidy on institutional credit availed for plant and machinery/equipment. Overall ceiling to be confirmed against current guidelines.,unknown,unknown,unknown,not_applicable,not_applicable,not_applicable,unknown,unknown,unknown,through_bank_or_financial_institution,https://sclcss.msme.gov.in,https://sclcss.msme.gov.in,https://clcss.dcmsme.gov.in/,unknown,official_government,high_official_current,confirmed_active,Dedicated live portal sclcss.msme.gov.in with application status and beneficiary lists,tier_2_segment_specific,through_bank_or_financial_institution,2026-07-03,"Subsidy routed via nodal banks/agencies (SIDBI, NABARD and others). Overall subsidy ceiling needs confirmation from current guidelines.",yes,Special component distinct from the general CLCSS row
Credit Linked Capital Subsidy Scheme (CLCSS) - general component,15pct capital subsidy for technology upgradation (general),government_scheme,central_government,Ministry of MSME (Office of DC-MSME),central,all_india,capital_subsidy,technology_upgradation|capital_investment_subsidy,existing_enterprise|modernization_upgradation,manufacturing,micro|small,"Upfront capital subsidy to micro and small enterprises for inducting well-established and improved technology in specified sub-sectors/products, linked to a term loan from a Primary Lending Institution.","15pct subsidy on institutional finance up to 1 crore, i.e. subsidy capped at 15 lakh, on eligible plant and machinery in approved sub-sectors.",1500000,unknown,0-10000000,not_applicable,not_applicable,not_applicable,unknown,unknown,unknown,through_bank_or_financial_institution,unknown,https://www.dcmsme.gov.in/old/schemes/Credit_link_Scheme.htm,https://clcss.dcmsme.gov.in/,https://www.indiainfoline.com/knowledge-center/business-loan/know-about-clcss-for-msme,official_government,medium_official_stale,unclear_needs_verification,DC-MSME page states the general scheme is under revision; fresh-application window status is unclear,tier_3_limited_access_or_low_discoverability,unclear,2026-07-03,General CLCSS is reported to be under revision and may not be accepting fresh applications. Include only after confirming an open window. SCLCSS (SC/ST) is separately active.,yes,Sits under the CLCS-TUS umbrella; SCLCSS is the special SC/ST component
MSME Sustainable (ZED) Certification Scheme,Subsidy on cost of ZED certification,government_scheme,central_government,Ministry of MSME (QCI as implementing partner),central,all_india,reimbursement,quality_certification,existing_enterprise,manufacturing|services,micro|small|medium|women_led|sc_st_entrepreneur,"Government bears a large share of the ZED certification fee (Bronze/Silver/Gold) for registered MSMEs, reducing the cost of quality-and-sustainability certification.","Subsidy on certification cost: micro 80pct, small 60pct, medium 50pct. Additional 10pct for women/SC/ST-owned or NER/Himalayan/LWE/island/aspirational-district units, plus additional 5pct for SFURTI or MSE-CDP cluster members. Certification cost: Bronze 10000, Silver 40000, Gold 90000.",unknown,unknown,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,open_online,https://zed.msme.gov.in,https://zed.msme.gov.in/subsidy-on-cost-of-certification,https://zed.msme.gov.in/uploads/Guideline_Book.pdf,unknown,official_government,high_official_current,confirmed_active,Live zed.msme.gov.in portal with current subsidy structure and online application,tier_1_high_priority,open_online,2026-07-03,Registration is free. Women-owned MSMEs are reported to get certification effectively free across levels. Max rupee value varies by level and category; compute from the percentage grid.,no,"Part of the ZED scheme along with joining reward, handholding/tech support and testing reimbursement rows"
MSME Sustainable (ZED) Certification Scheme,ZED pledge joining reward,government_scheme,central_government,Ministry of MSME (QCI as implementing partner),central,all_india,grant,quality_certification,existing_enterprise,manufacturing|services,micro|small|medium|women_led|sc_st_entrepreneur,"One-time limited-purpose reward of 10000 to each MSME on taking the ZED pledge, to be used within a defined period for a defined purpose.",Flat 10000 per MSME on taking the ZED pledge; valid for a limited period after the pledge.,10000,10000,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,open_online,https://zed.msme.gov.in,https://zed.msme.gov.in/faqs,https://zed.msme.gov.in/uploads/Guideline_Book.pdf,unknown,official_government,high_official_current,confirmed_active,Joining reward described in current ZED FAQs on zed.msme.gov.in,tier_2_segment_specific,open_online,2026-07-03,Added benefits reported for SC/ST and women-led units. Limited-purpose and time-bound.,no,Part of the ZED scheme; see other ZED rows
MSME Sustainable (ZED) Certification Scheme,Handholding and zero-effect technology upgradation support,government_scheme,central_government,Ministry of MSME (QCI as implementing partner),central,all_india,reimbursement,quality_certification|technology_upgradation|energy_efficiency_green,existing_enterprise|modernization_upgradation,manufacturing|services,micro|small|medium|women_led|sc_st_entrepreneur,"Financial support of up to 5 lakh per ZED-certified MSME for consultancy handholding and for moving towards zero-effect solutions, pollution control or cleaner technology.","Up to 5 lakh per MSME (up to 2 lakh for handholding/consultancy and up to 3 lakh for zero-effect technology), subsidized at micro 80pct, small 60pct, medium 50pct, with the same additional 10pct/5pct enhancements as certification.",500000,unknown,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,open_online,https://zed.msme.gov.in,https://zed.msme.gov.in/gap-analysis-handholding,https://zed.msme.gov.in/uploads/Guideline_Book.pdf,unknown,official_government,high_official_current,confirmed_active,Handholding/tech-upgradation support described on current zed.msme.gov.in page,tier_2_segment_specific,open_online,2026-07-03,"Requires at least ZED Bronze certification. Tech-upgradation portion is subject to consultant recommendation, MSME-DI verification and PMAC approval.",no,Part of the ZED scheme; see other ZED rows
MSME Sustainable (ZED) Certification Scheme,Reimbursement for testing / system / product certification,government_scheme,central_government,Ministry of MSME (QCI as implementing partner),central,all_india,reimbursement,quality_certification,existing_enterprise,manufacturing|services,micro|small|medium,"After achieving a ZED certification level, MSMEs can claim reimbursement on the cost of one testing, one management-system certification or one product certification.",Subsidy on cost of one Testing OR one Management System OR one Product Certification after achieving a ZED level. Rupee cap to be confirmed from scheme guidelines (secondary sources cite up to 50000).,unknown,unknown,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,open_online,https://zed.msme.gov.in,https://zed.msme.gov.in/faqs,https://zed.msme.gov.in/uploads/Guideline_Book.pdf,https://blog.zedmsme.com/blog/government-subsidies-incentives-for-zed-certified-msmes/,official_government,medium_secondary_supported,confirmed_active,Testing/certification reimbursement confirmed in ZED FAQs; exact cap from secondary source,tier_2_segment_specific,open_online,2026-07-03,Management-system certification must be through an NABCB-accredited body. Applicable only after achieving a ZED level. Rupee cap needs official confirmation.,yes,Part of the ZED scheme; see other ZED rows
MSME Competitive (LEAN) Scheme,Subsidy on Lean implementation and consultancy cost,government_scheme,central_government,Ministry of MSME (QCI/NPC empanelled consultants),central,all_india,reimbursement,quality_certification|technology_upgradation|skilling_capacity_financial,existing_enterprise|modernization_upgradation,manufacturing,micro|small|medium|women_led|sc_st_entrepreneur,"Government contributes the bulk of the cost of Lean manufacturing implementation (5S, Kaizen, Kanban and similar tools) through empanelled consultants across Basic, Intermediate and Advanced levels.","90pct of implementation/consultancy cost borne by GoI, plus an additional 5pct for women/SC/ST-owned, SFURTI-cluster or NER units, plus an additional 5pct for units registering via Industry Associations/OEMs after completing all levels. 5000 per MSME to the OEM/Association on completion.",unknown,unknown,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,unknown,open_online,https://lean.msme.gov.in,https://lean.msme.gov.in/Home/FinancialAssistance,https://lean.msme.gov.in,https://www.drishtiias.com/daily-updates/daily-news-analysis/msme-competitive-lean-scheme,official_government,medium_official_stale,likely_active_but_not_recently_updated,lean.msme.gov.in shows financial assistance; but scheme guideline validity was stated till 31 March 2026,tier_2_segment_specific,open_online,2026-07-03,Scheme validity was stated up to 31 March 2026; confirm extension/continuation and per-level rupee caps (secondary sources cite up to 1.2 lakh Intermediate and 2.4 lakh Advanced).,yes,none
